iteration,sample,batch_size,learning_rate,metric,result,walltime
007,0006,128,0.00011333491817844762,0,val_loss,0.003137104446068406,2344
007,0016,128,0.00011333491817844762,0,val_loss,0.0030777922365814447,2174
007,0016,128,0.00011333491817844762,0,val_loss,0.0030777922365814447,2174
008,0030,512,0.022905905138119607,0,val_loss,0.03988092020153999,348
008,0003,64,0.01504645095161236,0,val_loss,0.03988092020153999,753
008,0005,512,0.004824185740166819,0,val_loss,0.03988092020153999,334
008,0005,512,0.004824185740166819,0,val_loss,0.03988092020153999,334
008,0027,256,0.007671660930502876,0,val_loss,0.03988092020153999,364
008,0027,256,0.007671660930502876,0,val_loss,0.03988092020153999,364
008,0004,128,0.0022314948404956823,0,val_loss,0.03988092020153999,548
008,0004,128,0.0022314948404956823,0,val_loss,0.03988092020153999,548
008,0018,64,0.007589926443820186,0,val_loss,0.03988092020153999,840
008,0028,256,0.005810606412701491,0,val_loss,0.03988092020153999,366
008,0028,256,0.005810606412701491,0,val_loss,0.03988092020153999,366
008,0033,256,1e-06,0,val_loss,0.007395865395665169,1729
008,0010,256,1e-06,0,val_loss,0.0073207528330385685,1595
008,0010,256,1e-06,0,val_loss,0.0073207528330385685,1595
008,0000,256,1e-06,0,val_loss,0.007087657693773508,1585
008,0000,256,1e-06,0,val_loss,0.007087657693773508,1585
008,0021,128,1e-06,0,val_loss,0.006802569143474102,2172
008,0021,128,1e-06,0,val_loss,0.006802569143474102,2172
008,0021,128,1e-06,0,val_loss,0.006802569143474102,2172
008,0013,256,1e-06,0,val_loss,0.006656446494162083,1612
008,0035,128,1e-06,0,val_loss,0.006624595727771521,2229
008,0023,128,1e-06,0,val_loss,0.006586121395230293,2221
008,0009,128,1e-06,0,val_loss,0.0065689110197126865,2187
008,0009,128,1e-06,0,val_loss,0.0065689110197126865,2187
008,0009,128,1e-06,0,val_loss,0.0065689110197126865,2187
008,0029,128,1e-06,0,val_loss,0.00635418901219964,2190
008,0029,128,1e-06,0,val_loss,0.00635418901219964,2190
